Warehouse,Description
100,Main Office
1001,Lusail R17 Tower Maintenance
1002,Jassem Villa Maintenance
1003,Ali Al Emadi Villa
1004,New Dar Al Hekma
1005,Naif Villa
1006,AL-Emadi Stone Factory
1007,Bin Mahmoud 54 Building
1008,IBA RE Accommodation Maintena
1009,IBA Labor Camp Maintenance
1061,M.E Dafna V Maintenance
1065,IBA Workers Accomm Store
1067,Foxhills K06/K14 MAINITINANCE
1111,Maintenance Projects
121,Ain Khalid Gate
122,Concorde Hotel
123,Labour Camp
129,Al Arqam Academy
130,Dar Al Hekma School
132,Al Hazm Mall
137.17,Marina Res. 17
137.19,Marina Res. 19
139,Hamad Hilal Villa
140,Foxhills D5-D6
141,Foxhills MU-E10
142,Foxhills D37
144,Marina Res. 16
145,Old Ghanim Commercial Building
146,Al Hazm Stone Factory
147,IBA Interiors Factory
148,Hamad Rawdat Al Hamam Villa
149,QAF D-103-01 5 Accommodation
150,Ali Al Emadi Hilal Villa
151,Manateq Labour Accommodation
152,QAF D-110-01
153,QAF D-313-01 (Dining Hall)
154,QESC Signal Corps Project
155,GWC Warehouse & Office Complex
156,Mohamed Esmael Hilal Villa
157,Mohamed Esmael Nuija Building
158,BSQ Accommodation BuildingQESC
159,QAF D-113-01 (Brooq 1)
160,Officers Dining Hall at DNB
161,M.E Dafna Palace
162,Ibrahim Mosque
163,Lusail R26
164,Al Emadi Mosque
165,IBA Workers Accomm. & Store
166,Al Shahad Tower
167,Foxhills K06/K14
168,Qatar University HAB
169,Al Arqam Academy 2
171,Qtefan Island Villa
172,AlThumama 2 Villas
173,Azure Towers
174,New Hilal Majilis
175, Leonardo Projects  Brooq1
176,Ashghal Chemical Store
177,Lusail foxhills muh01 2 3
178,Lusail WR-RES. 27
179, Dar Al Hekma Al Khessa
180,New Dafna Majlis
181,Abdullah H. Al Emadi Villa
91,Ninty One Consultancy & Agency
A 29,Al Asmakh building
M1,Mohamed Esmael Al Emadi
M10,Al Emadi Majlis
M11,IBA Real Estate
M12,Noaf & Mohamed Ali Al Emadi
M13,Abdel Wahid Al Emadi
M132,Al Hazm MAll Maintenance
M14,Mohamed Abdel Karim Al Emadi
M147,IBA Interiors Factory - M
M15,IBA Aluminium
M16,Hamad Sister Villa (3)
M161,Mohamed Esmael Dafna Villa
M163,Lusail R26 Owner
M166,Al Shahad Tower Maintenance
M167,M Foxhills K06/K14
M169,Al Arqam Academy 2 C
M17,59 Real Estate
M170,Faisal Al Hammadi Residence
M172,Al Thumama 2 Villas
M173,Azure Towers Maints
M177,Lusail fox hills muh01 2 3
M178,Lusail WR-RES 27
M179, Dar Al Hekma Al Khessa M
M18,IBA  Al-Kiranah Store
M181,Abdullah H. Al Emadi Villa M
M2,Abdullah Esmael Al Emadi
M20,Ali Taleb Villa
M21,Muntaza Building
M22,Nuija Building
M23,Qinwan Villa
M24,Kheesa 5 Villas
M25,On Time Real Estate Co.
M26,On Time Delivery
M27,Coastal Solutions
M28,Hilal Villa
M29,IBA Inheritance
M3,Hassan Esmael Al Emadi
M30,Um Ghuwailina Building
M31,Go Do Accommodation
M32,Hilal 3 Villas
M33,Mansoura Building
M34,Ghazal Compound Ain Khaled
M35,91 Cleaning & Hospitality
M36,Hilal Villa B71
M37,Ali Mohamed A.R Al Emadi
M38,Blink Events Management
M39,Birkat Al Awamer Store
M4,Hamad Mohamed Al Emadi
M40,3 Villas Hazoom Lusail
M5,IBA Farm
M6,Mohamed Esmael Farm Villa
M7,Hamad Al Emadi Winter Camp
M8,Salman Al Emadi
M9,Hassan Rafee Al Emadi Villa
SZRE,Seven Zone Real Estate
